"reads.in"	"reads.out"
"distal-MMV-T1-Rep1_R1.fq.gz"	43904	28324
"distal-MMV-T1-Rep2_R1.fq.gz"	258234	219699
"distal-MMV-T1-Rep3_R1.fq.gz"	78006	65961
"distal-MMV-T1-Rep4_R1.fq.gz"	25087	4271
"distal-MMV-T1-Rep5_R1.fq.gz"	31420	15283
"distal-MMV-T1-Rep6_R1.fq.gz"	92101	77445
"distal-MMV-T5-Rep1_R1.fq.gz"	29515	23728
"distal-MMV-T5-Rep2_R1.fq.gz"	36813	26162
"distal-MMV-T5-Rep3_R1.fq.gz"	41484	4399
"distal-MMV-T5-Rep4_R1.fq.gz"	126921	36427
"distal-MMV-T5-Rep5_R1.fq.gz"	54678	27143
"distal-MMV-T5-Rep6_R1.fq.gz"	18417	7698
"distal-MMV-T9-Rep1_R1.fq.gz"	17198	5363
"distal-MMV-T9-Rep2_R1.fq.gz"	40891	14232
"distal-MMV-T9-Rep3_R1.fq.gz"	31815	6053
"distal-MMV-T9-Rep4_R1.fq.gz"	44989	19134
"distal-MMV-T9-Rep5_R1.fq.gz"	41233	16192
"distal-MMV-T9-Rep6_R1.fq.gz"	26168	3712
"distal-VMV-T12-Rep1_R1.fq.gz"	20827	7142
"distal-VMV-T12-Rep2_R1.fq.gz"	79440	59653
"distal-VMV-T12-Rep3_R1.fq.gz"	82759	69542
"distal-VMV-T12-Rep4_R1.fq.gz"	88434	76059
"distal-VMV-T12-Rep5_R1.fq.gz"	29317	5209
"distal-VMV-T12-Rep6_R1.fq.gz"	79633	68389
"distal-VMV-T3-Rep1_R1.fq.gz"	286403	246966
"distal-VMV-T3-Rep2_R1.fq.gz"	64613	2457
"distal-VMV-T3-Rep3_R1.fq.gz"	160109	133854
"distal-VMV-T3-Rep4_R1.fq.gz"	22963	7075
"distal-VMV-T3-Rep5_R1.fq.gz"	67775	20402
"distal-VMV-T3-Rep6_R1.fq.gz"	84010	59036
"distal-VMV-T8-Rep1_R1.fq.gz"	246247	203577
"distal-VMV-T8-Rep2_R1.fq.gz"	18969	7437
"distal-VMV-T8-Rep3_R1.fq.gz"	172071	146520
"distal-VMV-T8-Rep4_R1.fq.gz"	111156	94188
"distal-VMV-T8-Rep5_R1.fq.gz"	43306	2676
"distal-VMV-T8-Rep6_R1.fq.gz"	21436	6409
"feed-M-Rep1_R1.fq.gz"	342227	253406
"feed-M-Rep2_R1.fq.gz"	86234	63654
"feed-M-Rep3_R1.fq.gz"	102122	74159
"feed-V-Rep1_R1.fq.gz"	168993	122756
"feed-V-Rep2_R1.fq.gz"	175164	127289
"feed-V-Rep3_R1.fq.gz"	129146	90615
"middle-MMV-T1-Rep1_R1.fq.gz"	24503	14895
"middle-MMV-T1-Rep2_R1.fq.gz"	323568	280034
"middle-MMV-T1-Rep3_R1.fq.gz"	77622	59640
"middle-MMV-T1-Rep4_R1.fq.gz"	19521	5672
"middle-MMV-T1-Rep5_R1.fq.gz"	24415	12495
"middle-MMV-T1-Rep6_R1.fq.gz"	70581	59729
"middle-MMV-T5-Rep1_R1.fq.gz"	14924	4279
"middle-MMV-T5-Rep2_R1.fq.gz"	49657	30676
"middle-MMV-T5-Rep3_R1.fq.gz"	17084	5962
"middle-MMV-T5-Rep4_R1.fq.gz"	15831	5233
"middle-MMV-T5-Rep5_R1.fq.gz"	27659	5435
"middle-MMV-T5-Rep6_R1.fq.gz"	87060	71469
"middle-MMV-T9-Rep1_R1.fq.gz"	42970	8117
"middle-MMV-T9-Rep2_R1.fq.gz"	32972	22237
"middle-MMV-T9-Rep3_R1.fq.gz"	53245	5232
"middle-MMV-T9-Rep4_R1.fq.gz"	163225	15413
"middle-MMV-T9-Rep5_R1.fq.gz"	15146	6345
"middle-MMV-T9-Rep6_R1.fq.gz"	18732	6692
"middle-VMV-T12-Rep1_R1.fq.gz"	32785	2830
"middle-VMV-T12-Rep2_R1.fq.gz"	239135	206703
"middle-VMV-T12-Rep3_R1.fq.gz"	19751	6222
"middle-VMV-T12-Rep4_R1.fq.gz"	21892	14309
"middle-VMV-T12-Rep5_R1.fq.gz"	34759	18353
"middle-VMV-T12-Rep6_R1.fq.gz"	26061	4598
"middle-VMV-T3-Rep1_R1.fq.gz"	65132	50364
"middle-VMV-T3-Rep2_R1.fq.gz"	21242	5902
"middle-VMV-T3-Rep3_R1.fq.gz"	44924	24148
"middle-VMV-T3-Rep4_R1.fq.gz"	18941	5069
"middle-VMV-T3-Rep5_R1.fq.gz"	13195	5639
"middle-VMV-T3-Rep6_R1.fq.gz"	36758	12446
"middle-VMV-T8-Rep1_R1.fq.gz"	59788	36070
"middle-VMV-T8-Rep2_R1.fq.gz"	23804	16049
"middle-VMV-T8-Rep3_R1.fq.gz"	228970	24787
"middle-VMV-T8-Rep4_R1.fq.gz"	65892	55811
"middle-VMV-T8-Rep5_R1.fq.gz"	47665	6630
"middle-VMV-T8-Rep6_R1.fq.gz"	13998	5253
"negative-1_R1.fq.gz"	122	15
"negative-2_R1.fq.gz"	470	191
"negative-3_R1.fq.gz"	454	74
"positive-1_R1.fq.gz"	366005	270617
"positive-2_R1.fq.gz"	164083	118268
"pyloric-MMV-T1-Rep1_R1.fq.gz"	29178	7206
"pyloric-MMV-T1-Rep2_R1.fq.gz"	4295	399
"pyloric-MMV-T1-Rep3_R1.fq.gz"	7264	280
"pyloric-MMV-T1-Rep4_R1.fq.gz"	1807	60
"pyloric-MMV-T1-Rep5_R1.fq.gz"	12331	7895
"pyloric-MMV-T1-Rep6_R1.fq.gz"	34329	24221
"pyloric-MMV-T5-Rep1_R1.fq.gz"	176	32
"pyloric-MMV-T5-Rep2_R1.fq.gz"	18176	13501
"pyloric-MMV-T5-Rep3_R1.fq.gz"	16900	4778
"pyloric-MMV-T5-Rep4_R1.fq.gz"	67107	7444
"pyloric-MMV-T5-Rep5_R1.fq.gz"	42158	13494
"pyloric-MMV-T5-Rep6_R1.fq.gz"	16654	5156
"pyloric-MMV-T9-Rep1_R1.fq.gz"	2564	1515
"pyloric-MMV-T9-Rep2_R1.fq.gz"	32097	5307
"pyloric-MMV-T9-Rep3_R1.fq.gz"	1483	342
"pyloric-MMV-T9-Rep4_R1.fq.gz"	3276	421
"pyloric-MMV-T9-Rep5_R1.fq.gz"	10319	2299
"pyloric-MMV-T9-Rep6_R1.fq.gz"	12003	3477
"pyloric-VMV-T12-Rep1_R1.fq.gz"	33573	3857
"pyloric-VMV-T12-Rep2_R1.fq.gz"	121186	23357
"pyloric-VMV-T12-Rep3_R1.fq.gz"	2443	303
"pyloric-VMV-T12-Rep4_R1.fq.gz"	108419	19963
"pyloric-VMV-T12-Rep5_R1.fq.gz"	13700	4021
"pyloric-VMV-T12-Rep6_R1.fq.gz"	31577	3968
"pyloric-VMV-T3-Rep1_R1.fq.gz"	22636	5492
"pyloric-VMV-T3-Rep2_R1.fq.gz"	3927	597
"pyloric-VMV-T3-Rep3_R1.fq.gz"	833	24
"pyloric-VMV-T3-Rep4_R1.fq.gz"	3130	14
"pyloric-VMV-T3-Rep5_R1.fq.gz"	13422	3854
"pyloric-VMV-T3-Rep6_R1.fq.gz"	15473	4882
"pyloric-VMV-T8-Rep1_R1.fq.gz"	2755	1380
"pyloric-VMV-T8-Rep2_R1.fq.gz"	10909	4244
"pyloric-VMV-T8-Rep3_R1.fq.gz"	140606	8596
"pyloric-VMV-T8-Rep4_R1.fq.gz"	45526	8106
"pyloric-VMV-T8-Rep5_R1.fq.gz"	50670	2986
"pyloric-VMV-T8-Rep6_R1.fq.gz"	27911	1929
"water-MMV-T1-Rep1_R1.fq.gz"	77606	56619
"water-MMV-T9-Rep2_R1.fq.gz"	299781	222355
"water-VMV-T12-Rep3_R1.fq.gz"	55616	41113
"water-VMV-T3-Rep1_R1.fq.gz"	90750	67656
"water-VMV-T3+12-Rep4_R1.fq.gz"	81130	58948
"water-VMV-T8-Rep2_R1.fq.gz"	294685	217116
