	input	filtered	denoisedF	denoisedR	merged	nochim
distal-MMV-T1-Rep1	43904	28324	28093	28069	27473	26803
distal-MMV-T1-Rep2	258234	219699	219470	219459	219229	219062
distal-MMV-T1-Rep3	78006	65961	65820	65821	65678	65540
distal-MMV-T1-Rep4	25087	4271	3605	3584	2205	1098
distal-MMV-T1-Rep5	31420	15283	14942	14906	14557	14137
distal-MMV-T1-Rep6	92101	77445	77110	77084	76606	76406
distal-MMV-T5-Rep1	29515	23728	23643	23626	23272	23201
distal-MMV-T5-Rep2	36813	26162	25983	25965	25810	25683
distal-MMV-T5-Rep3	41484	4399	3932	3938	3301	2474
distal-MMV-T5-Rep4	126921	36427	36066	35978	34807	32069
distal-MMV-T5-Rep5	54678	27143	25602	25647	22755	20266
distal-MMV-T5-Rep6	18417	7698	6763	6800	5351	3950
distal-MMV-T9-Rep1	17198	5363	4421	4447	3126	1782
distal-MMV-T9-Rep2	40891	14232	12075	12140	6924	2792
distal-MMV-T9-Rep3	31815	6053	5580	5549	4824	4137
distal-MMV-T9-Rep4	44989	19134	16739	16759	12503	8649
distal-MMV-T9-Rep5	41233	16192	14202	14273	10045	6327
distal-MMV-T9-Rep6	26168	3712	3062	2972	1899	961
distal-VMV-T12-Rep1	20827	7142	6298	6308	4593	3065
distal-VMV-T12-Rep2	79440	59653	59233	59219	58266	57021
distal-VMV-T12-Rep3	82759	69542	69180	69183	68722	68457
distal-VMV-T12-Rep4	88434	76059	76000	76012	75908	75878
distal-VMV-T12-Rep5	29317	5209	4561	4539	3364	1974
distal-VMV-T12-Rep6	79633	68389	68272	68292	68191	68134
distal-VMV-T3-Rep1	286403	246966	246804	246848	246645	246537
distal-VMV-T3-Rep2	64613	2457	2138	2112	1858	1424
distal-VMV-T3-Rep3	160109	133854	133368	133382	132715	132249
distal-VMV-T3-Rep4	22963	7075	6198	6101	4708	3019
distal-VMV-T3-Rep5	67775	20402	19495	19478	14952	10582
distal-VMV-T3-Rep6	84010	59036	57911	57970	56288	55213
distal-VMV-T8-Rep1	246247	203577	202637	202686	200896	199456
distal-VMV-T8-Rep2	18969	7437	6168	6169	4125	2658
distal-VMV-T8-Rep3	172071	146520	146206	146250	145999	145861
distal-VMV-T8-Rep4	111156	94188	93670	93748	93299	92988
distal-VMV-T8-Rep5	43306	2676	2192	2179	1698	991
distal-VMV-T8-Rep6	21436	6409	5702	5729	4468	2945
