	input	filtered	denoisedF	denoisedR	merged	nochim
middle-MMV-T1-Rep1	24503	14895	14542	14523	14142	13624
middle-MMV-T1-Rep2	323568	280034	279836	279868	279572	279357
middle-MMV-T1-Rep3	77622	59640	59128	59130	58023	56962
middle-MMV-T1-Rep4	19521	5672	5172	5126	3820	2330
middle-MMV-T1-Rep5	24415	12495	11807	11777	10661	9562
middle-MMV-T1-Rep6	70581	59729	59545	59548	59384	59259
middle-MMV-T5-Rep1	14924	4279	3474	3477	2368	1135
middle-MMV-T5-Rep2	49657	30676	29756	29749	27592	25766
middle-MMV-T5-Rep3	17084	5962	4873	4826	3528	2031
middle-MMV-T5-Rep4	15831	5233	4086	4143	2797	1483
middle-MMV-T5-Rep5	27659	5435	4742	4700	3792	2782
middle-MMV-T5-Rep6	87060	71469	70820	70855	70149	69628
middle-MMV-T9-Rep1	42970	8117	7952	7967	7858	7439
middle-MMV-T9-Rep2	32972	22237	21999	22002	21844	21673
middle-MMV-T9-Rep3	53245	5232	4772	4721	3976	2912
middle-MMV-T9-Rep4	163225	15413	14934	14853	13782	11325
middle-MMV-T9-Rep5	15146	6345	5890	5807	4926	3746
middle-MMV-T9-Rep6	18732	6692	5744	5709	4447	3085
middle-VMV-T12-Rep1	32785	2830	2332	2308	1769	1054
middle-VMV-T12-Rep2	239135	206703	206526	206578	206356	206214
middle-VMV-T12-Rep3	19751	6222	5179	5147	3758	2380
middle-VMV-T12-Rep4	21892	14309	13979	13940	13584	13136
middle-VMV-T12-Rep5	34759	18353	18041	18030	17908	17644
middle-VMV-T12-Rep6	26061	4598	3898	3897	3123	2315
middle-VMV-T3-Rep1	65132	50364	49637	49654	48660	47729
middle-VMV-T3-Rep2	21242	5902	5062	5017	3402	1615
middle-VMV-T3-Rep3	44924	24148	24058	24027	24011	23989
middle-VMV-T3-Rep4	18941	5069	4615	4577	3836	2651
middle-VMV-T3-Rep5	13195	5639	4472	4518	2828	1526
middle-VMV-T3-Rep6	36758	12446	11297	11160	9006	5733
middle-VMV-T8-Rep1	59788	36070	34926	35001	32775	30407
middle-VMV-T8-Rep2	23804	16049	15641	15650	15156	14579
middle-VMV-T8-Rep3	228970	24787	23817	23754	20570	8533
middle-VMV-T8-Rep4	65892	55811	55636	55645	55557	55457
middle-VMV-T8-Rep5	47665	6630	5745	5714	4466	1979
middle-VMV-T8-Rep6	13998	5253	4834	4796	4023	3085
