	input	filtered	denoisedF	denoisedR	merged	nochim
pyloric-MMV-T1-Rep1	29178	7206	6935	6974	6083	4377
pyloric-MMV-T1-Rep2	4295	399	360	367	358	235
pyloric-MMV-T1-Rep3	7264	280	245	240	228	63
pyloric-MMV-T1-Rep4	1807	60	46	39	39	16
pyloric-MMV-T1-Rep5	12331	7895	7740	7716	7224	6966
pyloric-MMV-T1-Rep6	34329	24221	23824	23779	22849	22010
pyloric-MMV-T5-Rep1	176	32	31	31	31	31
pyloric-MMV-T5-Rep2	18176	13501	13357	13374	13253	13069
pyloric-MMV-T5-Rep3	16900	4778	4310	4306	2920	1204
pyloric-MMV-T5-Rep4	67107	7444	7141	7115	6850	4263
pyloric-MMV-T5-Rep5	42158	13494	11633	11555	6871	2532
pyloric-MMV-T5-Rep6	16654	5156	4325	4317	2795	1461
pyloric-MMV-T9-Rep1	2564	1515	1491	1488	1486	1478
pyloric-MMV-T9-Rep2	32097	5307	4884	4814	3813	2869
pyloric-MMV-T9-Rep3	1483	342	307	310	298	252
pyloric-MMV-T9-Rep4	3276	421	388	370	351	265
pyloric-MMV-T9-Rep5	10319	2299	2220	2222	2199	1784
pyloric-MMV-T9-Rep6	12003	3477	2918	2872	1815	900
pyloric-VMV-T12-Rep1	33573	3857	3220	3185	2128	1121
pyloric-VMV-T12-Rep2	121186	23357	23177	23194	23083	22205
pyloric-VMV-T12-Rep3	2443	303	283	274	272	233
pyloric-VMV-T12-Rep4	108419	19963	19550	19508	19117	16944
pyloric-VMV-T12-Rep5	13700	4021	3578	3514	2255	1060
pyloric-VMV-T12-Rep6	31577	3968	3374	3338	2147	1176
pyloric-VMV-T3-Rep1	22636	5492	5260	5262	5112	3892
pyloric-VMV-T3-Rep2	3927	597	512	504	460	265
pyloric-VMV-T3-Rep3	833	24	21	21	21	17
pyloric-VMV-T3-Rep4	3130	14	2	2	2	2
pyloric-VMV-T3-Rep5	13422	3854	3149	3114	1804	871
pyloric-VMV-T3-Rep6	15473	4882	4197	4183	2468	1017
pyloric-VMV-T8-Rep1	2755	1380	1268	1248	1153	1097
pyloric-VMV-T8-Rep2	10909	4244	4077	4073	3870	3372
pyloric-VMV-T8-Rep3	140606	8596	8198	8155	7630	5671
pyloric-VMV-T8-Rep4	45526	8106	7391	7343	5444	4104
pyloric-VMV-T8-Rep5	50670	2986	2739	2753	2625	1390
pyloric-VMV-T8-Rep6	27911	1929	1520	1504	1053	546
