	input	filtered	denoisedF	denoisedR	merged	nochim
distal-MMV-T1-Rep1	43904	28324	28093	28069	27473	26803
distal-MMV-T1-Rep2	258234	219699	219470	219459	219229	219062
distal-MMV-T1-Rep3	78006	65961	65820	65821	65678	65540
distal-MMV-T1-Rep4	25087	4271	3605	3584	2205	1098
distal-MMV-T1-Rep5	31420	15283	14942	14906	14557	14137
distal-MMV-T1-Rep6	92101	77445	77110	77084	76606	76406
distal-MMV-T5-Rep1	29515	23728	23643	23626	23272	23201
distal-MMV-T5-Rep2	36813	26162	25983	25965	25810	25683
distal-MMV-T5-Rep3	41484	4399	3932	3938	3301	2474
distal-MMV-T5-Rep4	126921	36427	36066	35978	34807	32069
distal-MMV-T5-Rep5	54678	27143	25602	25647	22755	20266
distal-MMV-T5-Rep6	18417	7698	6763	6800	5351	3950
distal-MMV-T9-Rep1	17198	5363	4421	4447	3126	1782
distal-MMV-T9-Rep2	40891	14232	12075	12140	6924	2792
distal-MMV-T9-Rep3	31815	6053	5580	5549	4824	4137
distal-MMV-T9-Rep4	44989	19134	16739	16759	12503	8649
distal-MMV-T9-Rep5	41233	16192	14202	14273	10045	6327
distal-MMV-T9-Rep6	26168	3712	3062	2972	1899	961
distal-VMV-T12-Rep1	20827	7142	6298	6308	4593	3065
distal-VMV-T12-Rep2	79440	59653	59233	59219	58266	57021
distal-VMV-T12-Rep3	82759	69542	69180	69183	68722	68457
distal-VMV-T12-Rep4	88434	76059	76000	76012	75908	75878
distal-VMV-T12-Rep5	29317	5209	4561	4539	3364	1974
distal-VMV-T12-Rep6	79633	68389	68272	68292	68191	68134
distal-VMV-T3-Rep1	286403	246966	246804	246848	246645	246537
distal-VMV-T3-Rep2	64613	2457	2138	2112	1858	1424
distal-VMV-T3-Rep3	160109	133854	133368	133382	132715	132249
distal-VMV-T3-Rep4	22963	7075	6198	6101	4708	3019
distal-VMV-T3-Rep5	67775	20402	19495	19478	14952	10582
distal-VMV-T3-Rep6	84010	59036	57911	57970	56288	55213
distal-VMV-T8-Rep1	246247	203577	202637	202686	200896	199456
distal-VMV-T8-Rep2	18969	7437	6168	6169	4125	2658
distal-VMV-T8-Rep3	172071	146520	146206	146250	145999	145861
distal-VMV-T8-Rep4	111156	94188	93670	93748	93299	92988
distal-VMV-T8-Rep5	43306	2676	2192	2179	1698	991
distal-VMV-T8-Rep6	21436	6409	5702	5729	4468	2945
feed-V-Rep1	168993	122756	122021	122252	120292	116397
feed-V-Rep2	175164	127289	126544	126731	124507	119375
feed-V-Rep3	129146	90615	89887	90155	87897	83555
middle-MMV-T1-Rep1	24503	14895	14542	14523	14142	13624
middle-MMV-T1-Rep2	323568	280034	279836	279868	279572	279357
middle-MMV-T1-Rep3	77622	59640	59128	59130	58023	56962
middle-MMV-T1-Rep4	19521	5672	5172	5126	3820	2330
middle-MMV-T1-Rep5	24415	12495	11807	11777	10661	9562
middle-MMV-T1-Rep6	70581	59729	59545	59548	59384	59259
middle-MMV-T5-Rep1	14924	4279	3474	3477	2368	1135
middle-MMV-T5-Rep2	49657	30676	29756	29749	27592	25766
middle-MMV-T5-Rep3	17084	5962	4873	4826	3528	2031
middle-MMV-T5-Rep4	15831	5233	4086	4143	2797	1483
middle-MMV-T5-Rep5	27659	5435	4742	4700	3792	2782
middle-MMV-T5-Rep6	87060	71469	70820	70855	70149	69628
middle-MMV-T9-Rep1	42970	8117	7952	7967	7858	7439
middle-MMV-T9-Rep2	32972	22237	21999	22002	21844	21673
middle-MMV-T9-Rep3	53245	5232	4772	4721	3976	2912
middle-MMV-T9-Rep4	163225	15413	14934	14853	13782	11325
middle-MMV-T9-Rep5	15146	6345	5890	5807	4926	3746
middle-MMV-T9-Rep6	18732	6692	5744	5709	4447	3085
middle-VMV-T12-Rep1	32785	2830	2332	2308	1769	1054
middle-VMV-T12-Rep2	239135	206703	206526	206578	206356	206214
middle-VMV-T12-Rep3	19751	6222	5179	5147	3758	2380
middle-VMV-T12-Rep4	21892	14309	13979	13940	13584	13136
middle-VMV-T12-Rep5	34759	18353	18041	18030	17908	17644
middle-VMV-T12-Rep6	26061	4598	3898	3897	3123	2315
middle-VMV-T3-Rep1	65132	50364	49637	49654	48660	47729
middle-VMV-T3-Rep2	21242	5902	5062	5017	3402	1615
middle-VMV-T3-Rep3	44924	24148	24058	24027	24011	23989
middle-VMV-T3-Rep4	18941	5069	4615	4577	3836	2651
middle-VMV-T3-Rep5	13195	5639	4472	4518	2828	1526
middle-VMV-T3-Rep6	36758	12446	11297	11160	9006	5733
middle-VMV-T8-Rep1	59788	36070	34926	35001	32775	30407
middle-VMV-T8-Rep2	23804	16049	15641	15650	15156	14579
middle-VMV-T8-Rep3	228970	24787	23817	23754	20570	8533
middle-VMV-T8-Rep4	65892	55811	55636	55645	55557	55457
middle-VMV-T8-Rep5	47665	6630	5745	5714	4466	1979
middle-VMV-T8-Rep6	13998	5253	4834	4796	4023	3085
pyloric-MMV-T1-Rep1	29178	7206	6935	6974	6083	4377
pyloric-MMV-T1-Rep2	4295	399	360	367	358	235
pyloric-MMV-T1-Rep3	7264	280	245	240	228	63
pyloric-MMV-T1-Rep4	1807	60	46	39	39	16
pyloric-MMV-T1-Rep5	12331	7895	7740	7716	7224	6966
pyloric-MMV-T1-Rep6	34329	24221	23824	23779	22849	22010
pyloric-MMV-T5-Rep1	176	32	31	31	31	31
pyloric-MMV-T5-Rep2	18176	13501	13357	13374	13253	13069
pyloric-MMV-T5-Rep3	16900	4778	4310	4306	2920	1204
pyloric-MMV-T5-Rep4	67107	7444	7141	7115	6850	4263
pyloric-MMV-T5-Rep5	42158	13494	11633	11555	6871	2532
pyloric-MMV-T5-Rep6	16654	5156	4325	4317	2795	1461
pyloric-MMV-T9-Rep1	2564	1515	1491	1488	1486	1478
pyloric-MMV-T9-Rep2	32097	5307	4884	4814	3813	2869
pyloric-MMV-T9-Rep3	1483	342	307	310	298	252
pyloric-MMV-T9-Rep4	3276	421	388	370	351	265
pyloric-MMV-T9-Rep5	10319	2299	2220	2222	2199	1784
pyloric-MMV-T9-Rep6	12003	3477	2918	2872	1815	900
pyloric-VMV-T12-Rep1	33573	3857	3220	3185	2128	1121
pyloric-VMV-T12-Rep2	121186	23357	23177	23194	23083	22205
pyloric-VMV-T12-Rep3	2443	303	283	274	272	233
pyloric-VMV-T12-Rep4	108419	19963	19550	19508	19117	16944
pyloric-VMV-T12-Rep5	13700	4021	3578	3514	2255	1060
pyloric-VMV-T12-Rep6	31577	3968	3374	3338	2147	1176
pyloric-VMV-T3-Rep1	22636	5492	5260	5262	5112	3892
pyloric-VMV-T3-Rep2	3927	597	512	504	460	265
pyloric-VMV-T3-Rep3	833	24	21	21	21	17
pyloric-VMV-T3-Rep4	3130	14	2	2	2	2
pyloric-VMV-T3-Rep5	13422	3854	3149	3114	1804	871
pyloric-VMV-T3-Rep6	15473	4882	4197	4183	2468	1017
pyloric-VMV-T8-Rep1	2755	1380	1268	1248	1153	1097
pyloric-VMV-T8-Rep2	10909	4244	4077	4073	3870	3372
pyloric-VMV-T8-Rep3	140606	8596	8198	8155	7630	5671
pyloric-VMV-T8-Rep4	45526	8106	7391	7343	5444	4104
pyloric-VMV-T8-Rep5	50670	2986	2739	2753	2625	1390
