"Var1"	"Freq"
"1"	"250"	416
"2"	"251"	28
"3"	"252"	28
"4"	"253"	25
"5"	"254"	19
"6"	"255"	28
"7"	"256"	19
"8"	"257"	28
"9"	"258"	34
"10"	"259"	24
"11"	"260"	80
"12"	"261"	22
"13"	"262"	29
"14"	"263"	23
"15"	"264"	40
"16"	"265"	27
"17"	"266"	27
"18"	"267"	24
"19"	"268"	22
"20"	"269"	39
"21"	"270"	14
"22"	"271"	25
"23"	"272"	23
"24"	"273"	29
"25"	"274"	22
"26"	"275"	25
"27"	"276"	26
"28"	"277"	27
"29"	"278"	22
"30"	"279"	24
"31"	"280"	21
"32"	"281"	34
"33"	"282"	30
"34"	"283"	24
"35"	"284"	31
"36"	"285"	29
"37"	"286"	27
"38"	"287"	35
"39"	"288"	18
"40"	"289"	37
"41"	"290"	26
"42"	"291"	23
"43"	"292"	15
"44"	"293"	23
"45"	"294"	20
"46"	"295"	25
"47"	"296"	24
"48"	"297"	31
"49"	"298"	24
"50"	"299"	25
"51"	"300"	27
"52"	"301"	24
"53"	"302"	104
"54"	"303"	26
"55"	"304"	18
"56"	"305"	12
"57"	"306"	24
"58"	"307"	27
"59"	"308"	11
"60"	"309"	29
"61"	"310"	31
"62"	"311"	28
"63"	"312"	22
"64"	"313"	23
"65"	"314"	24
"66"	"315"	30
"67"	"316"	17
"68"	"317"	18
"69"	"318"	42
"70"	"319"	29
"71"	"320"	29
"72"	"321"	16
"73"	"322"	19
"74"	"323"	30
"75"	"324"	27
"76"	"325"	27
"77"	"326"	23
"78"	"327"	24
"79"	"328"	32
"80"	"329"	29
"81"	"330"	32
"82"	"331"	20
"83"	"332"	32
"84"	"333"	25
"85"	"334"	37
"86"	"335"	26
"87"	"336"	27
"88"	"337"	29
"89"	"338"	21
"90"	"339"	19
"91"	"340"	32
"92"	"341"	21
"93"	"342"	26
"94"	"343"	34
"95"	"344"	27
"96"	"345"	24
"97"	"346"	36
"98"	"347"	55
"99"	"348"	30
"100"	"349"	38
"101"	"350"	44
"102"	"351"	40
"103"	"352"	51
"104"	"353"	33
"105"	"354"	56
"106"	"355"	73
"107"	"356"	90
"108"	"357"	165
"109"	"358"	416
"110"	"359"	118
"111"	"360"	78
"112"	"361"	40
"113"	"362"	20
"114"	"363"	21
"115"	"364"	22
"116"	"365"	22
"117"	"366"	21
"118"	"367"	15
"119"	"368"	19
"120"	"369"	19
"121"	"370"	16
"122"	"371"	16
"123"	"372"	18
"124"	"373"	15
"125"	"374"	16
"126"	"375"	25
"127"	"376"	24
"128"	"377"	14
"129"	"378"	13
"130"	"379"	16
"131"	"380"	20
"132"	"381"	10
"133"	"382"	15
"134"	"383"	33
"135"	"384"	23
"136"	"385"	13
"137"	"386"	13
"138"	"387"	18
"139"	"388"	9
"140"	"389"	23
"141"	"390"	6
"142"	"391"	11
"143"	"392"	12
"144"	"393"	12
"145"	"394"	16
"146"	"395"	9
"147"	"396"	18
"148"	"397"	13
"149"	"398"	14
"150"	"399"	20
"151"	"400"	32
"152"	"401"	132
"153"	"402"	933
"154"	"403"	474
"155"	"404"	312
"156"	"405"	280
"157"	"406"	289
"158"	"407"	380
"159"	"408"	54
"160"	"409"	67
"161"	"410"	28
"162"	"411"	41
"163"	"412"	37
"164"	"413"	21
"165"	"414"	22
"166"	"415"	30
"167"	"416"	24
"168"	"417"	40
"169"	"418"	24
"170"	"419"	42
"171"	"420"	50
"172"	"421"	128
"173"	"422"	574
"174"	"423"	46
"175"	"424"	79
"176"	"425"	35
"177"	"426"	243
"178"	"427"	2489
"179"	"428"	418
"180"	"429"	17
"181"	"430"	17
"182"	"431"	15
"183"	"432"	14
"184"	"433"	14
"185"	"434"	13
"186"	"435"	14
"187"	"436"	17
"188"	"437"	16
"189"	"438"	7
"190"	"439"	12
"191"	"440"	18
"192"	"441"	13
"193"	"442"	15
"194"	"443"	13
"195"	"444"	16
"196"	"445"	13
"197"	"446"	12
"198"	"447"	22
"199"	"448"	19
"200"	"449"	17
"201"	"450"	12
"202"	"451"	15
"203"	"452"	14
"204"	"453"	7
"205"	"454"	20
"206"	"455"	10
"207"	"456"	14
"208"	"457"	17
"209"	"458"	13
