"Row.names"	"sum"	"sample.name"	"sample.no"	"sample"	"Phase"	"Region"	"Regime"	"Region_Regime"	"region_regime"	"sample_regime"	"sample_or_control"	"Sample_Type"	"is.neg"
"1"	"distal-MMV-T1-Rep1"	26765	"3_1_1_D"	187	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"2"	"distal-MMV-T1-Rep2"	219058	"3_1_2_D"	180	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"3"	"distal-MMV-T1-Rep3"	65528	"3_1_3_D"	246	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"4"	"distal-MMV-T1-Rep4"	1079	"3_1_4_D"	146	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"5"	"distal-MMV-T1-Rep5"	14130	"3_1_5_D"	99	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"6"	"distal-MMV-T1-Rep6"	76406	"3_1_6_D"	245	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"7"	"distal-MMV-T5-Rep1"	23190	"3_5_1_D"	188	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"8"	"distal-MMV-T5-Rep2"	25652	"3_5_2_D"	112	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"9"	"distal-MMV-T5-Rep3"	2467	"3_5_3_D"	115	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"10"	"distal-MMV-T5-Rep4"	32055	"3_5_4_D"	134	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"11"	"distal-MMV-T5-Rep5"	20266	"3_5_5_D"	77	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"12"	"distal-MMV-T5-Rep6"	3950	"3_5_6_D"	6	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"13"	"distal-MMV-T9-Rep1"	1782	"3_9_1_D"	48	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"14"	"distal-MMV-T9-Rep2"	2786	"3_9_2_D"	54	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"15"	"distal-MMV-T9-Rep3"	4120	"3_9_3_D"	147	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"16"	"distal-MMV-T9-Rep4"	8649	"3_9_4_D"	66	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"17"	"distal-MMV-T9-Rep5"	6327	"3_9_5_D"	72	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"18"	"distal-MMV-T9-Rep6"	945	"3_9_6_D"	128	"gut"	"challenge"	"distal"	"MMV"	"distal.MMV"	"distal.MMV"	"gut.MMV"	"sample"	"gut_distal"	FALSE
"19"	"distal-VMV-T12-Rep1"	3062	"3_12_1_D"	84	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"20"	"distal-VMV-T12-Rep2"	57021	"3_12_2_D"	89	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"21"	"distal-VMV-T12-Rep3"	68457	"3_12_3_D"	248	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"22"	"distal-VMV-T12-Rep4"	75875	"3_12_4_D"	173	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"23"	"distal-VMV-T12-Rep5"	1954	"3_12_5_D"	139	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"24"	"distal-VMV-T12-Rep6"	68134	"3_12_6_D"	183	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"25"	"distal-VMV-T3-Rep1"	246529	"3_3_1_D"	225	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"26"	"distal-VMV-T3-Rep2"	1417	"3_3_2_D"	130	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"27"	"distal-VMV-T3-Rep3"	132246	"3_3_3_D"	94	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"28"	"distal-VMV-T3-Rep4"	3015	"3_3_4_D"	21	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"29"	"distal-VMV-T3-Rep5"	10247	"3_3_5_D"	127	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"30"	"distal-VMV-T3-Rep6"	55191	"3_3_6_D"	216	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"31"	"distal-VMV-T8-Rep1"	199456	"3_8_1_D"	95	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"32"	"distal-VMV-T8-Rep2"	2658	"3_8_2_D"	18	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"33"	"distal-VMV-T8-Rep3"	145861	"3_8_3_D"	244	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"34"	"distal-VMV-T8-Rep4"	92988	"3_8_4_D"	30	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"35"	"distal-VMV-T8-Rep5"	955	"3_8_5_D"	150	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"36"	"distal-VMV-T8-Rep6"	2945	"3_8_6_D"	42	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"37"	"feed-M-Rep1"	241205	"M1"	170	"feed"	"challenge"	"feed"	"M"	"feed.M"	"feed.M"	"feed.M"	"sample"	"feed"	FALSE
"38"	"feed-M-Rep2"	60609	"M2"	231	"feed"	"challenge"	"feed"	"M"	"feed.M"	"feed.M"	"feed.M"	"sample"	"feed"	FALSE
"39"	"feed-M-Rep3"	70886	"M3"	209	"feed"	"challenge"	"feed"	"M"	"feed.M"	"feed.M"	"feed.M"	"sample"	"feed"	FALSE
"40"	"feed-V-Rep1"	116390	"V1"	195	"feed"	"challenge"	"feed"	"V"	"feed.V"	"feed.V"	"feed.V"	"sample"	"feed"	FALSE
"41"	"feed-V-Rep2"	119371	"V2"	201	"feed"	"challenge"	"feed"	"V"	"feed.V"	"feed.V"	"feed.V"	"sample"	"feed"	FALSE
"42"	"feed-V-Rep3"	83555	"V3"	220	"feed"	"challenge"	"feed"	"V"	"feed.V"	"feed.V"	"feed.V"	"sample"	"feed"	FALSE
"43"	"middle-MMV-T1-Rep1"	13599	"3_1_7_M"	166	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"44"	"middle-MMV-T1-Rep2"	279350	"3_1_2_M"	207	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"45"	"middle-MMV-T1-Rep3"	56962	"3_1_3_M"	199	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"46"	"middle-MMV-T1-Rep4"	2317	"3_1_4_M"	76	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"47"	"middle-MMV-T1-Rep5"	9562	"3_1_5_M"	5	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
"48"	"middle-MMV-T1-Rep6"	59252	"3_1_6_M"	184	"gut"	"challenge"	"middle"	"MMV"	"middle.MMV"	"middle.MMV"	"gut.MMV"	"sample"	"gut_middle"	FALSE
