"Var1"	"Freq"
"1"	"[Eubacterium] coprostanoligenes group"	5
"2"	"37-13"	2
"3"	"67-14"	14
"4"	"A0839"	3
"5"	"A4b"	7
"6"	"AB1"	2
"7"	"Acetobacteraceae"	30
"8"	"Acholeplasmataceae"	2
"9"	"Acidaminobacteraceae"	4
"10"	"Acidaminococcaceae"	9
"11"	"Acidobacteriaceae (Subgroup 1)"	2
"12"	"Actinomycetaceae"	8
"13"	"Aerococcaceae"	2
"14"	"Aeromonadaceae"	17
"15"	"Akkermansiaceae"	1
"16"	"AKYH767"	4
"17"	"Alcaligenaceae"	10
"18"	"Alcanivoracaceae1"	1
"19"	"Alicyclobacillaceae"	1
"20"	"Alkaliphilus"	1
"21"	"Alteromonadaceae"	2
"22"	"Amoebophilaceae"	1
"23"	"Anaerococcus"	12
"24"	"Anaerolineaceae"	2
"25"	"Anaerosalibacter"	1
"26"	"Anaerosphaera"	1
"27"	"Anaerovoracaceae"	10
"28"	"Aneurinibacillaceae"	3
"29"	"Aquaspirillaceae"	5
"30"	"Arcobacteraceae"	15
"31"	"Ardenticatenaceae"	1
"32"	"Armatimonadaceae"	4
"33"	"Atopobiaceae"	9
"34"	"Azospirillales Incertae Sedis"	1
"35"	"Bacillaceae"	78
"36"	"Bacteriovoracaceae"	9
"37"	"Bacteroidaceae"	17
"38"	"Bacteroidetes BD2-2"	1
"39"	"Bacteroidetes vadinHA17"	4
"40"	"Barnesiellaceae"	1
"41"	"Bdellovibrionaceae"	36
"42"	"Beggiatoaceae"	1
"43"	"Beijerinckiaceae"	16
"44"	"Bifidobacteriaceae"	13
"45"	"BIrii41"	1
"46"	"Blastocatellaceae"	13
"47"	"Bogoriellaceae"	2
"48"	"Brevibacteriaceae"	5
"49"	"Brevinemataceae"	1
"50"	"Bryobacteraceae"	2
"51"	"Burkholderiaceae"	17
"52"	"Caedibacteraceae"	3
"53"	"Caldicoprobacteraceae"	1
"54"	"Caldilineaceae"	5
"55"	"Caloramatoraceae"	4
"56"	"Campylobacteraceae"	1
"57"	"Candidatus Jidaibacter"	3
"58"	"Carnobacteriaceae"	14
"59"	"Catenulisporaceae"	2
"60"	"Caulobacteraceae"	23
"61"	"Cellulomonadaceae"	2
"62"	"Cellvibrionaceae"	6
"63"	"Chitinibacteraceae"	3
"64"	"Chitinimonadaceae"	2
"65"	"Chitinophagaceae"	52
"66"	"Chlamydiaceae"	4
"67"	"Chloracidobacteriaceae"	1
"68"	"Christensenellaceae"	5
"69"	"Chromobacteriaceae"	9
"70"	"Chroococcidiopsaceae"	1
"71"	"Chthoniobacteraceae"	12
"72"	"Chthonomonadaceae"	1
"73"	"Clade III"	1
"74"	"Clostridiaceae"	59
"75"	"Comamonadaceae"	193
"76"	"Coprothermobacteraceae"	1
"77"	"Coriobacteriales Incertae Sedis"	2
"78"	"Corynebacteriaceae"	44
"79"	"Coxiellaceae"	12
"80"	"Crocinitomicaceae"	7
"81"	"Cryomorphaceae"	1
"82"	"cvE6"	6
"83"	"Cyanobiaceae"	3
"84"	"Cyclobacteriaceae"	2
"85"	"Cytophagaceae"	5
"86"	"Deinococcaceae"	9
"87"	"Dermabacteraceae"	1
"88"	"Dermacoccaceae"	5
"89"	"Desulfitobacteriaceae"	3
"90"	"Desulfobacteraceae"	2
"91"	"Desulfotomaculum"	1
"92"	"Desulfovibrionaceae"	2
"93"	"Dethiobacteraceae"	2
"94"	"Devosiaceae"	10
"95"	"Dietziaceae"	3
"96"	"Diplorickettsiaceae"	32
"97"	"Dongiaceae"	2
"98"	"Dysgonomonadaceae"	8
"99"	"Eggerthellaceae"	2
"100"	"Elsteraceae"	2
"101"	"Endomicrobiaceae"	2
"102"	"Enterobacteriaceae"	36
"103"	"Enterococcaceae"	18
"104"	"env.OPS 17"	18
"105"	"Erwiniaceae"	9
"106"	"Erysipelatoclostridiaceae"	3
"107"	"Erysipelotrichaceae"	23
"108"	"Ethanoligenenaceae"	3
"109"	"Eubacteriaceae"	3
"110"	"Exiguobacteraceae"	3
"111"	"F082"	1
"112"	"Family III"	1
"113"	"Fervidobacteriaceae"	3
"114"	"FFCH9454"	1
"115"	"Fibrobacteraceae"	6
"116"	"Fimbriimonadaceae"	11
"117"	"Finegoldia"	2
"118"	"Flavobacteriaceae"	97
"119"	"Fokiniaceae"	1
"120"	"Frankiaceae"	1
"121"	"Fusobacteriaceae"	28
"122"	"Gaiellaceae"	3
"123"	"Gallicola"	3
"124"	"Garciellaceae"	2
"125"	"Gemellaceae"	3
"126"	"Geminicoccaceae"	1
"127"	"Gemmataceae"	36
"128"	"Gemmatimonadaceae"	20
"129"	"Geodermatophilaceae"	2
"130"	"Gottschalkia"	1
"131"	"Guggenheimella"	2
"132"	"GWF2-44-16"	1
"133"	"Haliangiaceae"	5
"134"	"Halieaceae"	4
"135"	"Halobacteriaceae"	2
"136"	"Halomonadaceae"	7
"137"	"Holophagaceae"	2
"138"	"Holosporaceae"	7
"139"	"Hydrogenedensaceae"	1
"140"	"Hydrogenophilaceae"	4
"141"	"Hymenobacteraceae"	9
