"Var1"	"Freq"
"1"	"[Agitococcus] lubricus group"	2
"2"	"[Eubacterium] brachy group"	4
"3"	"[Eubacterium] nodatum group"	1
"4"	"1959-1"	1
"5"	"966-1"	1
"6"	"AAP99"	8
"7"	"Acetitomaculum"	1
"8"	"Acetoanaerobium"	1
"9"	"Acetobacter"	3
"10"	"Acetobacterium"	1
"11"	"Acholeplasma"	2
"12"	"Achromobacter"	4
"13"	"Acidaminobacter"	4
"14"	"Acidaminococcus"	2
"15"	"Acidibacter"	2
"16"	"Acidiphilium"	4
"17"	"Acidipropionibacterium"	2
"18"	"Acidisoma"	1
"19"	"Acidovorax"	16
"20"	"Acinetobacter"	56
"21"	"Actinomyces"	8
"22"	"Actinomycetospora"	1
"23"	"ADurb.Bin063-1"	1
"24"	"Aeriscardovia"	1
"25"	"Aerococcus"	1
"26"	"Aeromicrobium"	1
"27"	"Aeromonas"	13
"28"	"Aetherobacter"	1
"29"	"Afipia"	7
"30"	"Agathobacter"	1
"31"	"Aggregicoccus"	1
"32"	"Akkermansia"	1
"33"	"Alcaligenes"	1
"34"	"Alcanivorax"	1
"35"	"Algoriphagus"	1
"36"	"Alicyclobacillus"	1
"37"	"Aliivibrio"	17
"38"	"Alistipes"	2
"39"	"Aliterella"	1
"40"	"Alkanindiges"	3
"41"	"Allisonella"	2
"42"	"Alloiococcus"	1
"43"	"Alloprevotella"	4
"44"	"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	7
"45"	"alphaI cluster"	2
"46"	"Alsobacter"	2
"47"	"Altererythrobacter"	1
"48"	"Amaricoccus"	3
"49"	"Aminobacter"	2
"50"	"Aminobacterium"	3
"51"	"Ammoniibacillus"	1
"52"	"Anaerobacillus"	5
"53"	"Anaerocella"	1
"54"	"Anaerocolumna"	1
"55"	"Anaerosporomusa"	1
"56"	"Aneurinibacillus"	3
"57"	"Angustibacter"	1
"58"	"Anoxybacillus"	4
"59"	"Aphanizomenon NIES81"	1
"60"	"Aquabacterium"	3
"61"	"Aquamicrobium"	1
"62"	"Aquicella"	4
"63"	"Aquipuribacter"	1
"64"	"Aquisphaera"	4
"65"	"Aquitalea"	2
"66"	"Arcicella"	5
"67"	"Arcobacter"	2
"68"	"Arenimonas"	6
"69"	"Aridibacter"	2
"70"	"Armatimonas"	4
"71"	"Arsenicibacter"	1
"72"	"Arsenicitalea"	2
"73"	"Arthrobacter"	4
"74"	"Asaccharospora"	5
"75"	"Asinibacterium"	1
"76"	"Asticcacaulis"	2
"77"	"Atopobium"	1
"78"	"Atopostipes"	1
"79"	"Aurantimicrobium"	1
"80"	"Aurantisolimonas"	1
"81"	"Aureimonas"	2
"82"	"AUTHM297"	1
"83"	"Azospira"	2
"84"	"Bacillus"	23
"85"	"Bacteriovorax"	2
"86"	"Bacteroides"	17
"87"	"Bauldia"	4
"88"	"BD1-7 clade"	2
"89"	"Bdellovibrio"	35
"90"	"Beggiatoa"	1
"91"	"Bergeyella"	1
"92"	"Bifidobacterium"	4
"93"	"Bizionia"	1
"94"	"Blastocatella"	5
"95"	"Blastococcus"	1
"96"	"Blastopirellula"	2
"97"	"Blautia"	2
"98"	"Bogoriella"	1
"99"	"Bosea"	5
"100"	"Brachybacterium"	1
"101"	"Brachymonas"	1
"102"	"Bradyrhizobium"	5
"103"	"Brevibacterium"	5
"104"	"Brevinema"	1
"105"	"Brevundimonas"	11
"106"	"Breznakia"	1
"107"	"Brochothrix"	1
"108"	"Brucella"	1
"109"	"Bryobacter"	2
"110"	"BSV13"	2
"111"	"Burkholderia-Caballeronia-Paraburkholderia"	5
"112"	"C1-B045"	2
"113"	"C39"	4
"114"	"Caedibacter"	2
