"Var1"	"Freq"
"1"	"[Eubacterium] coprostanoligenes group"	5
"2"	"37-13"	2
"3"	"67-14"	14
"4"	"A0839"	3
"5"	"A4b"	7
"6"	"AB1"	2
"7"	"Acetobacteraceae"	30
"8"	"Acholeplasmataceae"	2
"9"	"Acidaminobacteraceae"	4
"10"	"Acidaminococcaceae"	9
"11"	"Acidobacteriaceae (Subgroup 1)"	2
"12"	"Actinomycetaceae"	8
"13"	"Aerococcaceae"	2
"14"	"Aeromonadaceae"	17
"15"	"Akkermansiaceae"	1
"16"	"AKYH767"	4
"17"	"Alcaligenaceae"	10
"18"	"Alcanivoracaceae1"	1
"19"	"Alicyclobacillaceae"	1
"20"	"Alkaliphilus"	1
"21"	"Alteromonadaceae"	2
"22"	"Amoebophilaceae"	1
"23"	"Anaerococcus"	12
"24"	"Anaerolineaceae"	2
"25"	"Anaerosalibacter"	1
"26"	"Anaerosphaera"	1
"27"	"Anaerovoracaceae"	10
"28"	"Aneurinibacillaceae"	3
"29"	"Aquaspirillaceae"	5
"30"	"Arcobacteraceae"	15
"31"	"Ardenticatenaceae"	1
"32"	"Armatimonadaceae"	4
"33"	"Atopobiaceae"	9
"34"	"Azospirillales Incertae Sedis"	1
"35"	"Bacillaceae"	78
"36"	"Bacteriovoracaceae"	9
"37"	"Bacteroidaceae"	17
"38"	"Bacteroidetes BD2-2"	1
"39"	"Bacteroidetes vadinHA17"	4
"40"	"Barnesiellaceae"	1
"41"	"Bdellovibrionaceae"	36
"42"	"Beggiatoaceae"	1
"43"	"Beijerinckiaceae"	16
"44"	"Bifidobacteriaceae"	13
"45"	"BIrii41"	1
"46"	"Blastocatellaceae"	13
"47"	"Bogoriellaceae"	2
"48"	"Brevibacteriaceae"	5
"49"	"Brevinemataceae"	1
"50"	"Bryobacteraceae"	2
"51"	"Burkholderiaceae"	17
"52"	"Caedibacteraceae"	3
"53"	"Caldicoprobacteraceae"	1
"54"	"Caldilineaceae"	5
"55"	"Caloramatoraceae"	4
"56"	"Campylobacteraceae"	1
"57"	"Candidatus Jidaibacter"	3
"58"	"Carnobacteriaceae"	14
"59"	"Catenulisporaceae"	2
"60"	"Caulobacteraceae"	23
"61"	"Cellulomonadaceae"	2
"62"	"Cellvibrionaceae"	6
"63"	"Chitinibacteraceae"	3
"64"	"Chitinimonadaceae"	2
"65"	"Chitinophagaceae"	52
"66"	"Chlamydiaceae"	4
"67"	"Chloracidobacteriaceae"	1
"68"	"Christensenellaceae"	5
"69"	"Chromobacteriaceae"	9
"70"	"Chthoniobacteraceae"	12
"71"	"Chthonomonadaceae"	1
"72"	"Clade III"	1
"73"	"Clostridiaceae"	59
"74"	"Comamonadaceae"	193
"75"	"Coprothermobacteraceae"	1
"76"	"Coriobacteriales Incertae Sedis"	2
"77"	"Corynebacteriaceae"	44
"78"	"Coxiellaceae"	12
"79"	"Crocinitomicaceae"	7
"80"	"Cryomorphaceae"	1
"81"	"cvE6"	6
"82"	"Cyclobacteriaceae"	2
"83"	"Cytophagaceae"	5
"84"	"Deinococcaceae"	9
"85"	"Dermabacteraceae"	1
"86"	"Dermacoccaceae"	5
"87"	"Desulfitobacteriaceae"	3
"88"	"Desulfobacteraceae"	2
"89"	"Desulfotomaculum"	1
"90"	"Desulfovibrionaceae"	2
"91"	"Dethiobacteraceae"	2
"92"	"Devosiaceae"	10
"93"	"Dietziaceae"	3
"94"	"Diplorickettsiaceae"	32
"95"	"Dongiaceae"	2
"96"	"Dysgonomonadaceae"	8
"97"	"Eggerthellaceae"	2
"98"	"Elsteraceae"	2
"99"	"Endomicrobiaceae"	2
"100"	"Enterobacteriaceae"	36
"101"	"Enterococcaceae"	18
"102"	"env.OPS 17"	18
"103"	"Erwiniaceae"	9
"104"	"Erysipelatoclostridiaceae"	3
"105"	"Erysipelotrichaceae"	23
"106"	"Ethanoligenenaceae"	3
"107"	"Eubacteriaceae"	3
"108"	"Exiguobacteraceae"	3
"109"	"F082"	1
"110"	"Family III"	1
"111"	"Fervidobacteriaceae"	3
"112"	"FFCH9454"	1
"113"	"Fibrobacteraceae"	6
"114"	"Fimbriimonadaceae"	11
"115"	"Finegoldia"	2
"116"	"Flavobacteriaceae"	97
"117"	"Fokiniaceae"	1
"118"	"Frankiaceae"	1
"119"	"Fusobacteriaceae"	28
"120"	"Gaiellaceae"	3
"121"	"Gallicola"	3
"122"	"Garciellaceae"	2
"123"	"Gemellaceae"	3
"124"	"Geminicoccaceae"	1
"125"	"Gemmataceae"	36
"126"	"Gemmatimonadaceae"	20
"127"	"Geodermatophilaceae"	2
"128"	"Gottschalkia"	1
"129"	"Guggenheimella"	2
"130"	"GWF2-44-16"	1
"131"	"Haliangiaceae"	5
"132"	"Halieaceae"	4
"133"	"Halomonadaceae"	7
"134"	"Holophagaceae"	2
"135"	"Holosporaceae"	7
"136"	"Hydrogenedensaceae"	1
"137"	"Hydrogenophilaceae"	4
"138"	"Hymenobacteraceae"	9
"139"	"Hyphomicrobiaceae"	30
"140"	"Hyphomonadaceae"	17
"141"	"Iamiaceae"	5
