"Var1"	"Freq"
"1"	"accolens"	1
"2"	"acidilactici"	1
"3"	"aeriphila"	1
"4"	"aerodenitrificans"	1
"5"	"agariperforans"	1
"6"	"agilis"	2
"7"	"akagii"	1
"8"	"akiainvivens"	1
"9"	"alaniniphila"	1
"10"	"algidus"	1
"11"	"algifaecis"	1
"12"	"alkaliphila"	1
"13"	"alpinus"	1
"14"	"amarae"	1
"15"	"americanum"	1
"16"	"ampullae"	1
"17"	"aneurinilyticus"	1
"18"	"angustum"	1
"19"	"antarcticum"	2
"20"	"appendicis"	1
"21"	"aquaticus"	3
"22"	"aquatilis"	1
"23"	"aquidurense"	1
"24"	"aquimarinus"	1
"25"	"arctica"	1
"26"	"argentinicus"	1
"27"	"auricularis"	1
"28"	"aurimucosum"	3
"29"	"aviarius"	1
"30"	"bacterium"	1
"31"	"baumannii"	1
"32"	"beninensis"	1
"33"	"bifermentans"	1
"34"	"bohemicus"	1
"35"	"bouvetii"	1
"36"	"bovis"	1
"37"	"brevis"	2
"38"	"brisouii"	1
"39"	"buanensis"	1
"40"	"butyricum"	1
"41"	"butzleri"	1
"42"	"caeni"	2
"43"	"calcoaceticus"	1
"44"	"carbonis"	1
"45"	"cavolei"	1
"46"	"cecorum"	1
"47"	"cerevisiae"	2
"48"	"cerevisiiphilus"	1
"49"	"ceti"	1
"50"	"cf."	1
"51"	"chaponense"	1
"52"	"chilense"	1
"53"	"chironomi"	1
"54"	"chromiireducens"	1
"55"	"coagulans"	1
"56"	"cochlearium"	1
"57"	"cohaerens"	1
"58"	"coleohominis"	1
"59"	"colombiense"	1
"60"	"comes"	1
"61"	"concavus"	1
"62"	"coprosuis"	1
"63"	"corporis"	1
"64"	"cortegadensis"	1
"65"	"coryniformis"	3
"66"	"coyleae"	1
"67"	"crispatus"	1
"68"	"cryaerophilus"	1
"69"	"cumminsii"	1
"70"	"damselae"	2
"71"	"dasanensis"	1
"72"	"defluvii"	2
"73"	"delbrueckii"	2
"74"	"denitrificans"	1
"75"	"dentocariosa"	1
"76"	"depolymerans"	1
"77"	"diabolicus"	1
"78"	"discipulorum"	1
"79"	"disporicum"	1
"80"	"elegans"	1
"81"	"endodontalis"	1
"82"	"endophyticus"	1
"83"	"enshiensis"	1
"84"	"evryensis"	1
"85"	"facile"	1
"86"	"faecalis"	1
"87"	"faecisuis"	1
"88"	"faecium"	1
"89"	"falsenii"	2
"90"	"fermentum"	2
"91"	"finisterrensis"	1
"92"	"fischeri"	2
"93"	"flavithermus"	1
"94"	"fluminis"	1
"95"	"fluorescens"	1
"96"	"fluvialis"	1
"97"	"fontis"	1
"98"	"fozii"	1
"99"	"freudenreichii"	1
"100"	"frisingensis"	1
"101"	"frumenti"	1
"102"	"fulvus"	1
"103"	"gallolyticus"	1
"104"	"gandavensis"	1
"105"	"gangotriensis"	1
"106"	"garvieae"	1
"107"	"genitalium"	1
"108"	"gerencseriae"	1
"109"	"gerneri"	1
"110"	"gilardii"	2
"111"	"gilvus"	1
"112"	"ginsengisoli"	3
"113"	"ginsenosidimutans"	1
"114"	"glacialipiscicola"	1
"115"	"glaciei"	1
"116"	"globispora"	1
"117"	"gracilis"	2
"118"	"graminisolvens"	1
"119"	"guillouiae"	3
"120"	"haemolyticus"	3
"121"	"hanedai"	1
"122"	"hermetiae"	1
"123"	"hippei"	1
"124"	"histolytica"	1
"125"	"hominis"	3
"126"	"hydrogenophilus"	1
"127"	"immobile"	1
"128"	"indica"	1
"129"	"indicum"	1
"130"	"indicus"	1
"131"	"indigofera"	2
"132"	"indonesiensis"	1
"133"	"ingluviei"	1
"134"	"iniae"	1
"135"	"inopinata"	1
"136"	"insulae"	1
"137"	"irregularis"	1
"138"	"isatidis"	1
