"Var1"	"Freq"
"1"	"[Eubacterium] coprostanoligenes group"	5
"2"	"37-13"	2
"3"	"67-14"	14
"4"	"A0839"	3
"5"	"A4b"	7
"6"	"AB1"	2
"7"	"Acetobacteraceae"	30
"8"	"Acholeplasmataceae"	2
"9"	"Acidaminobacteraceae"	4
"10"	"Acidaminococcaceae"	9
"11"	"Acidobacteriaceae (Subgroup 1)"	2
"12"	"Actinomycetaceae"	8
"13"	"Aerococcaceae"	2
"14"	"Aeromonadaceae"	17
"15"	"Akkermansiaceae"	1
"16"	"AKYH767"	4
"17"	"Alcaligenaceae"	10
"18"	"Alcanivoracaceae1"	1
"19"	"Alicyclobacillaceae"	1
"20"	"Alkaliphilus"	1
"21"	"Alteromonadaceae"	2
"22"	"Amoebophilaceae"	1
"23"	"Anaerococcus"	12
"24"	"Anaerolineaceae"	2
"25"	"Anaerosalibacter"	1
"26"	"Anaerosphaera"	1
"27"	"Anaerovoracaceae"	10
"28"	"Aneurinibacillaceae"	3
"29"	"Aquaspirillaceae"	5
"30"	"Arcobacteraceae"	15
"31"	"Ardenticatenaceae"	1
"32"	"Armatimonadaceae"	4
"33"	"Atopobiaceae"	9
"34"	"Azospirillales Incertae Sedis"	1
"35"	"Bacillaceae"	78
"36"	"Bacteriovoracaceae"	9
"37"	"Bacteroidaceae"	17
"38"	"Bacteroidetes BD2-2"	1
"39"	"Bacteroidetes vadinHA17"	4
"40"	"Barnesiellaceae"	1
"41"	"Bdellovibrionaceae"	36
"42"	"Beggiatoaceae"	1
"43"	"Beijerinckiaceae"	16
"44"	"Bifidobacteriaceae"	13
"45"	"BIrii41"	1
"46"	"Blastocatellaceae"	13
"47"	"Bogoriellaceae"	2
"48"	"Brevibacteriaceae"	5
"49"	"Brevinemataceae"	1
"50"	"Bryobacteraceae"	2
"51"	"Burkholderiaceae"	17
"52"	"Caedibacteraceae"	3
"53"	"Caldicoprobacteraceae"	1
"54"	"Caldilineaceae"	5
"55"	"Caloramatoraceae"	4
"56"	"Campylobacteraceae"	1
"57"	"Candidatus Jidaibacter"	3
"58"	"Carnobacteriaceae"	14
"59"	"Catenulisporaceae"	2
"60"	"Caulobacteraceae"	23
"61"	"Cellulomonadaceae"	2
"62"	"Cellvibrionaceae"	6
"63"	"Chitinibacteraceae"	3
"64"	"Chitinimonadaceae"	2
"65"	"Chitinophagaceae"	52
"66"	"Chlamydiaceae"	4
"67"	"Chloracidobacteriaceae"	1
"68"	"Christensenellaceae"	5
"69"	"Chromobacteriaceae"	9
"70"	"Chthoniobacteraceae"	12
"71"	"Chthonomonadaceae"	1
"72"	"Clade III"	1
"73"	"Clostridiaceae"	59
"74"	"Comamonadaceae"	193
"75"	"Coriobacteriales Incertae Sedis"	2
"76"	"Corynebacteriaceae"	44
"77"	"Coxiellaceae"	12
"78"	"Crocinitomicaceae"	7
"79"	"Cryomorphaceae"	1
"80"	"cvE6"	6
"81"	"Cyclobacteriaceae"	2
"82"	"Cytophagaceae"	5
"83"	"Deinococcaceae"	9
"84"	"Dermabacteraceae"	1
"85"	"Dermacoccaceae"	5
"86"	"Desulfitobacteriaceae"	3
"87"	"Desulfobacteraceae"	2
"88"	"Desulfotomaculum"	1
"89"	"Desulfovibrionaceae"	2
"90"	"Dethiobacteraceae"	2
"91"	"Devosiaceae"	10
"92"	"Dietziaceae"	3
"93"	"Diplorickettsiaceae"	32
"94"	"Dongiaceae"	2
"95"	"Dysgonomonadaceae"	8
"96"	"Eggerthellaceae"	2
"97"	"Elsteraceae"	2
"98"	"Endomicrobiaceae"	2
"99"	"Enterobacteriaceae"	36
"100"	"Enterococcaceae"	18
"101"	"env.OPS 17"	18
"102"	"Erwiniaceae"	9
"103"	"Erysipelatoclostridiaceae"	3
"104"	"Erysipelotrichaceae"	23
"105"	"Ethanoligenenaceae"	3
"106"	"Eubacteriaceae"	3
"107"	"Exiguobacteraceae"	3
"108"	"F082"	1
"109"	"Family III"	1
"110"	"Fervidobacteriaceae"	3
"111"	"FFCH9454"	1
"112"	"Fibrobacteraceae"	6
"113"	"Fimbriimonadaceae"	11
"114"	"Finegoldia"	2
"115"	"Flavobacteriaceae"	97
"116"	"Fokiniaceae"	1
"117"	"Frankiaceae"	1
"118"	"Fusobacteriaceae"	28
"119"	"Gaiellaceae"	3
"120"	"Gallicola"	3
"121"	"Garciellaceae"	2
"122"	"Gemellaceae"	3
"123"	"Geminicoccaceae"	1
"124"	"Gemmataceae"	36
"125"	"Gemmatimonadaceae"	20
"126"	"Geodermatophilaceae"	2
"127"	"Gottschalkia"	1
"128"	"Guggenheimella"	2
"129"	"GWF2-44-16"	1
"130"	"Haliangiaceae"	5
"131"	"Halieaceae"	4
"132"	"Halomonadaceae"	7
"133"	"Holophagaceae"	2
"134"	"Holosporaceae"	7
"135"	"Hydrogenophilaceae"	4
"136"	"Hymenobacteraceae"	9
"137"	"Hyphomicrobiaceae"	30
"138"	"Hyphomonadaceae"	17
"139"	"Iamiaceae"	5
"140"	"Ilumatobacteraceae"	6
"141"	"Inquilinaceae"	2
