"Var1"	"Freq"
"1"	"Acetobacter indonesiensis"	1
"2"	"Acidisoma tundrae"	1
"3"	"Acidovorax defluvii"	1
"4"	"Acidovorax radicis"	1
"5"	"Acinetobacter baumannii"	1
"6"	"Acinetobacter bohemicus"	1
"7"	"Acinetobacter bouvetii"	1
"8"	"Acinetobacter brisouii"	1
"9"	"Acinetobacter calcoaceticus"	1
"10"	"Acinetobacter gerneri"	1
"11"	"Acinetobacter guillouiae"	3
"12"	"Acinetobacter haemolyticus"	3
"13"	"Acinetobacter indicus"	1
"14"	"Acinetobacter johnsonii"	3
"15"	"Acinetobacter lwoffii"	3
"16"	"Acinetobacter radioresistens"	2
"17"	"Acinetobacter tjernbergiae"	1
"18"	"Acinetobacter ursingii"	1
"19"	"Actinomyces gerencseriae"	1
"20"	"Actinomyces massiliensis"	1
"21"	"Actinomyces naeslundii"	1
"22"	"Actinomyces odontolyticus"	1
"23"	"Actinomyces pacaensis"	1
"24"	"Actinomyces viscosus"	1
"25"	"Aeriscardovia aeriphila"	1
"26"	"Aeromonas media"	1
"27"	"Aeromonas sobria"	1
"28"	"Afipia massiliensis"	1
"29"	"Alcaligenes faecalis"	1
"30"	"Aliivibrio finisterrensis"	1
"31"	"Aliivibrio fischeri"	2
"32"	"Aliivibrio salmonicida"	1
"33"	"Alloiococcus otitis"	1
"34"	"Aminobacterium colombiense"	1
"35"	"Aminobacterium mobile"	1
"36"	"Ammoniibacillus agariperforans"	1
"37"	"Aneurinibacillus aneurinilyticus"	1
"38"	"Aneurinibacillus thermoaerophilus"	1
"39"	"Anoxybacillus flavithermus"	1
"40"	"Aquitalea magnusonii"	1
"41"	"Arcicella rigui"	1
"42"	"Arcobacter butzleri"	1
"43"	"Arcobacter cryaerophilus"	1
"44"	"Arenimonas oryziterrae"	1
"45"	"Arthrobacter alpinus"	1
"46"	"Arthrobacter woluwensis"	1
"47"	"Asaccharospora irregularis"	1
"48"	"Atopostipes suicloacalis"	1
"49"	"Aurantimicrobium minutum"	1
"50"	"Aureimonas glaciei"	1
"51"	"Azospira oryzae"	1
"52"	"Bacillus coagulans"	1
"53"	"Bacteroides coprosuis"	1
"54"	"Bacteroides graminisolvens"	1
"55"	"Bacteroides reticulotermitis"	1
"56"	"Bacteroides uniformis"	1
"57"	"Bizionia paragorgiae"	1
"58"	"Brevibacterium paucivorans"	1
"59"	"Brevibacterium ravenspurgense"	1
"60"	"Brevundimonas staleyi"	1
"61"	"Brevundimonas subvibrioides"	1
"62"	"Brochothrix thermosphacta"	1
"63"	"Caedibacter varicaedens"	1
"64"	"Calditerricola yamamurae"	1
"65"	"Camelimonas lactis"	1
"66"	"Campylobacter gracilis"	1
"67"	"Carnobacterium antarcticum"	1
"68"	"Carnobacterium mobile"	1
"69"	"Caulobacter profundus"	1
"70"	"Cellvibrio gandavensis"	1
"71"	"Cerasibacillus quisquiliarum"	1
"72"	"Cetobacterium ceti"	1
"73"	"Chryseobacterium antarcticum"	1
"74"	"Chryseobacterium bovis"	1
"75"	"Chryseobacterium chaponense"	1
"76"	"Chryseobacterium hominis"	2
"77"	"Cloacibacillus evryensis"	1
"78"	"Cloacibacterium caeni"	1
"79"	"Cloacibacterium normanense"	1
"80"	"Clostridium sensu stricto 1 butyricum"	1
"81"	"Clostridium sensu stricto 1 chromiireducens"	1
"82"	"Clostridium sensu stricto 1 disporicum"	1
"83"	"Clostridium sensu stricto 1 isatidis"	1
"84"	"Clostridium sensu stricto 12 akagii"	1
"85"	"Clostridium sensu stricto 15 cochlearium"	1
"86"	"Clostridium sensu stricto 16 algifaecis"	1
"87"	"Clostridium sensu stricto 5 putrefaciens"	1
"88"	"Clostridium sensu stricto 7 novyi"	1
"89"	"Clostridium sensu stricto 8 putrefaciens"	1
"90"	"Comamonas odontotermitis"	1
"91"	"Comamonas terrigena"	1
"92"	"Coprococcus comes"	1
"93"	"Corynebacterium accolens"	1
"94"	"Corynebacterium appendicis"	1
"95"	"Corynebacterium aurimucosum"	3
"96"	"Corynebacterium coyleae"	1
"97"	"Corynebacterium falsenii"	1
"98"	"Corynebacterium genitalium"	1
"99"	"Corynebacterium jeddahense"	2
"100"	"Corynebacterium jeikeium"	1
"101"	"Corynebacterium kroppenstedtii"	2
"102"	"Corynebacterium mucifaciens"	1
"103"	"Corynebacterium provencense"	1
"104"	"Corynebacterium urinapleomorphum"	1
"105"	"Cupriavidus gilardii"	2
"106"	"Cupriavidus respiraculi"	1
"107"	"Curvibacter gracilis"	1
"108"	"Deinococcus aquaticus"	1
"109"	"Dermacoccus nishinomiyaensis"	3
"110"	"Desulfobacter hydrogenophilus"	1
"111"	"Dysgonomonas oryzarvi"	1
"112"	"Empedobacter brevis"	1
"113"	"Empedobacter falsenii"	1
"114"	"Emticicia sediminis"	1
"115"	"Enterobacter ludwigii"	1
"116"	"Enterococcus cecorum"	1
"117"	"Enterococcus olivae"	1
"118"	"Erysipelotrichaceae UCG-003 bacterium"	1
"119"	"Faecalibacterium prausnitzii"	3
"120"	"Ferruginibacter profundus"	1
"121"	"Fervidobacterium nodosum"	1
"122"	"Flavobacterium akiainvivens"	1
"123"	"Flavobacterium aquidurense"	1
"124"	"Flavobacterium chilense"	1
"125"	"Flavobacterium maotaiense"	1
"126"	"Flavobacterium reichenbachii"	1
"127"	"Flavobacterium resistens"	1
"128"	"Flavobacterium succinicans"	2
"129"	"Flavobacterium terrigena"	1
"130"	"Flectobacillus fontis"	1
"131"	"Flectobacillus roseus"	1
"132"	"Fusobacterium nucleatum"	1
"133"	"Gemella sanguinis"	1
"134"	"Geobacillus stearothermophilus"	1
"135"	"Granulicatella elegans"	1
"136"	"Haemophilus parainfluenzae"	1
"137"	"Halomonas meridiana"	1
"138"	"Hathewaya histolytica"	1
"139"	"Hyphomicrobium facile"	1
"140"	"Ignatzschineria indica"	1
"141"	"Janthinobacterium lividum"	1
"142"	"Kineosporia rhamnosa"	1
"143"	"Klenkia terrae"	1
"144"	"Kocuria kristinae"	1
"145"	"Kocuria rhizophila"	1
"146"	"Kocuria salsicia"	1
"147"	"Lachnoanaerobaculum cf."	1
"148"	"Lactobacillus agilis"	2
"149"	"Lactobacillus algidus"	1
"150"	"Lactobacillus aviarius"	1
"151"	"Lactobacillus bifermentans"	1
"152"	"Lactobacillus brevis"	1
"153"	"Lactobacillus coleohominis"	1
"154"	"Lactobacillus concavus"	1
"155"	"Lactobacillus coryniformis"	3
"156"	"Lactobacillus crispatus"	1
"157"	"Lactobacillus delbrueckii"	2
"158"	"Lactobacillus fermentum"	2
"159"	"Lactobacillus frumenti"	1
"160"	"Lactobacillus ingluviei"	1
"161"	"Lactobacillus manihotivorans"	1
"162"	"Lactobacillus mucosae"	1
"163"	"Lactobacillus nagelii"	1
"164"	"Lactobacillus nenjiangensis"	1
"165"	"Lactobacillus oris"	1
"166"	"Lactobacillus parafarraginis"	1
"167"	"Lactobacillus plantarum"	3
"168"	"Lactobacillus pontis"	1
"169"	"Lactobacillus rossiae"	1
"170"	"Lactobacillus siliginis"	1
"171"	"Lactobacillus timonensis"	1
"172"	"Lactobacillus vaccinostercus"	1
"173"	"Lactobacillus vaginalis"	1
"174"	"Lactococcus garvieae"	1
"175"	"Lactococcus piscium"	1
"176"	"Lactococcus raffinolactis"	2
"177"	"Lampropedia cohaerens"	1
"178"	"Lautropia mirabilis"	1
"179"	"Leucobacter chironomi"	1
"180"	"Leuconostoc lactis"	1
"181"	"Leuconostoc palmae"	1
"182"	"Limnohabitans parvus"	1
"183"	"Lysinibacillus jejuensis"	1
"184"	"Lysinibacillus saudimassiliensis"	1
"185"	"Lysinibacillus sphaericus"	2
"186"	"Lysobacter ginsengisoli"	1
"187"	"Marmoricola ginsengisoli"	1
"188"	"Massilia oculi"	1
"189"	"Massilia timonae"	1
"190"	"Massilia varians"	1
"191"	"Massilia violaceinigra"	1
"192"	"Megasphaera cerevisiae"	2
"193"	"Methyloversatilis discipulorum"	1
"194"	"Microvirgula aerodenitrificans"	1
"195"	"Morganella morganii"	2
"196"	"Morganella psychrotolerans"	2
"197"	"Moritella dasanensis"	1
"198"	"Myroides phaeus"	1
"199"	"Nesterenkonia xinjiangensis"	1
"200"	"Nitrospira lenta"	1
"201"	"Nocardioides aquaticus"	1
"202"	"Nocardioides gilvus"	1
"203"	"Nocardioides plantarum"	1
"204"	"Nosocomiicoccus ampullae"	1
"205"	"Novibacillus thermophilus"	1
"206"	"Novosphingobium ginsenosidimutans"	1
"207"	"Novosphingobium lindaniclasticum"	1
"208"	"Novosphingobium piscinae"	1
"209"	"Oblitimonas alkaliphila"	1
"210"	"Oceanobacillus caeni"	1
"211"	"Paenalcaligenes hermetiae"	1
"212"	"Paeniglutamicibacter gangotriensis"	1
"213"	"Paenirhodobacter enshiensis"	1
"214"	"Paucibacter toxinivorans"	1
"215"	"Pectinatus cerevisiiphilus"	1
"216"	"Pectinatus frisingensis"	1
"217"	"Pediococcus acidilactici"	1
"218"	"Pediococcus argentinicus"	1
"219"	"Pedobacter insulae"	1
"220"	"Pedomicrobium americanum"	1
"221"	"Pelomonas puraquae"	1
"222"	"Peptostreptococcus russellii"	1
"223"	"Peptostreptococcus stomatis"	1
"224"	"Phenylobacterium immobile"	1
"225"	"Photobacterium angustum"	1
"226"	"Photobacterium damselae"	2
"227"	"Photobacterium indicum"	1
"228"	"Photobacterium leiognathi"	1
"229"	"Photobacterium phosphoreum"	1
"230"	"Photobacterium piscicola"	1
"231"	"Photobacterium profundum"	2
"232"	"Photobacterium sanguinicancri"	2
"233"	"Photobacterium swingsii"	2
"234"	"Phreatobacter oligotrophus"	1
"235"	"Planktomarina temperata"	1
"236"	"Polaromonas naphthalenivorans"	1
"237"	"Porphyromonas endodontalis"	1
"238"	"Porphyromonas somerae"	1
"239"	"Prevotella corporis"	1
"240"	"Prevotella shahii"	1
"241"	"Propionibacterium freudenreichii"	1
"242"	"Pseudarcobacter aquimarinus"	1
"243"	"Pseudarcobacter suis"	2
"244"	"Pseudoglutamicibacter cumminsii"	1
"245"	"Pseudogracilibacillus endophyticus"	1
"246"	"Pseudomonas fluorescens"	1
"247"	"Pseudomonas koreensis"	1
"248"	"Pseudomonas luteola"	1
"249"	"Pseudomonas rhizosphaerae"	1
"250"	"Pseudomonas thermotolerans"	1
"251"	"Pseudonocardia alaniniphila"	1
"252"	"Pseudonocardia tetrahydrofuranoxydans"	1
"253"	"Pseudoxanthomonas taiwanensis"	2
"254"	"Pseudoxanthomonas yeongjuensis"	1
"255"	"Psychrobacter fozii"	1
"256"	"Psychrobacter maritimus"	1
"257"	"Psychrobacter phenylpyruvicus"	1
"258"	"Psychromonas arctica"	1
"259"	"Raoultella ornithinolytica"	2
"260"	"Reyranella aquatilis"	1
"261"	"Reyranella terrae"	1
"262"	"Rhizobacter fulvus"	1
"263"	"Rhodoluna limnophila"	1
"264"	"Rickettsiella isopodorum"	2
"265"	"Rickettsiella symbiont"	1
"266"	"Rickettsiella tipulae"	1
"267"	"Romboutsia sedimentorum"	1
"268"	"Roseateles depolymerans"	1
"269"	"Rothia amarae"	1
"270"	"Rothia dentocariosa"	1
"271"	"Rothia mucilaginosa"	1
"272"	"Rugamonas rubra"	1
"273"	"Runella palustris"	1
"274"	"Savagea faecisuis"	1
"275"	"Scardovia inopinata"	1
"276"	"Sediminibacterium salmoneum"	1
"277"	"Selenomonas lacticifex"	1
"278"	"Shewanella denitrificans"	1
"279"	"Shewanella glacialipiscicola"	1
"280"	"Shewanella hanedai"	1
"281"	"Shewanella marina"	1
"282"	"Simplicispira limi"	1
"283"	"Simplicispira metamorpha"	1
"284"	"Simplicispira piscis"	1
"285"	"Soonwooa buanensis"	1
"286"	"Sphaerotilus hippei"	1
"287"	"Sphaerotilus montanus"	1
"288"	"Sphaerotilus natans"	2
"289"	"Sphingobacterium faecium"	1
"290"	"Sphingobium japonicum"	1
"291"	"Sphingobium vermicomposti"	1
"292"	"Sphingobium yanoikuyae"	1
"293"	"Sphingomonas jaspsi"	1
"294"	"Sphingomonas koreensis"	1
"295"	"Sphingomonas melonis"	1
"296"	"Sphingomonas yunnanensis"	1
"297"	"Sphingopyxis witflariensis"	1
"298"	"Sphingorhabdus wooponensis"	1
"299"	"Sporosarcina globispora"	1
"300"	"Staphylococcus auricularis"	1
"301"	"Staphylococcus hominis"	1
"302"	"Staphylococcus saccharolyticus"	1
"303"	"Stenotrophomonas maltophilia"	7
"304"	"Streptococcus gallolyticus"	1
"305"	"Streptococcus iniae"	1
"306"	"Streptococcus mutans"	1
"307"	"Streptococcus parauberis"	1
"308"	"Streptococcus sobrinus"	2
"309"	"Succinispira mobilis"	1
"310"	"Sulfurospirillum cavolei"	1
"311"	"Tahibacter aquaticus"	1
"312"	"Tepidiphilus margaritifer"	1
"313"	"Tepidiphilus succinatimandens"	1
"314"	"Terrimonas soli"	1
"315"	"Thermoanaerobacterium thermosaccharolyticum"	1
"316"	"Thermomonas carbonis"	1
"317"	"Thermotoga maritima"	1
"318"	"Turicella otitidis"	1
"319"	"Undibacterium parvum"	1
"320"	"Undibacterium pigrum"	1
"321"	"Ureibacillus defluvii"	1
"322"	"Ureibacillus thermophilus"	1
"323"	"Ureibacillus thermosphaericus"	1
"324"	"Vagococcus fluvialis"	1
"325"	"Vagococcus lutrae"	1
"326"	"Vagococcus salmoninarum"	1
"327"	"Variovorax ginsengisoli"	1
"328"	"Variovorax paradoxus"	2
"329"	"Veillonella rogosae"	1
"330"	"Veillonella tobetsuensis"	1
"331"	"Vibrio cortegadensis"	1
"332"	"Vibrio diabolicus"	1
"333"	"Vibrio parahaemolyticus"	1
"334"	"Vogesella fluminis"	1
"335"	"Vogesella indigofera"	2
"336"	"Weissella beninensis"	1
"337"	"Zoogloea ramigera"	1
